### File header must not be modified
### This file must be encoded into UTF-8.
### Special thanks to ZhangWeiwu, who provide his own table to me to
### redistribute
### This table under GPL

SCIM_Generic_Table_Phrase_Library_TEXT
VERSION_1_0

### Begin Table definition.
BEGIN_DEFINITION

### An unique id to distinguish this table among others.
### Use uuidgen to generate this kind of id.
UUID = 6a828af6-456f-4868-816c-2189cbf3cf9a

### A unique number indicates the version of this file.
### For example the last modified date of this file.
### This number must be less than 2^32.
SERIAL_NUMBER = 20080828

### ICON = @SCIM_ICONDIR@/zhengma.png
ICON = zhengma.svg

### The default name of this table
NAME = ZhengMa

### The local names of this table 
NAME.zh_CN = 郑码
NAME.zh_HK = 鄭碼
NAME.zh_TW = 鄭碼

### Supported languages of this table
LANGUAGES = zh_CN,zh_HK,zh_TW

AUTHOR = Yu Yuwei <yu-yuwei@gmail.com> 

### Prompt string to be displayed in the status area.
STATUS_PROMPT = CN

### Valid input chars.
VALID_INPUT_CHARS = abcdefghijklmnopqrstuvwxyz

MAX_KEY_LENGTH = 4

### Use full width punctuation by default
DEF_FULL_WIDTH_PUNCT = TRUE
### Use full width letter by default
DEF_FULL_WIDTH_LETTER = FALSE

### Whether user are allow to define phrase, default is true
USER_CAN_DEFINE_PHRASE = TRUE

### Whether support PinYin Mode, default is true
PINYIN_MODE = TRUE

DYNAMIC_ADJUST = TRUE 

### rules for constructing user defined phrase
RULES = ce2:p11+p12+p21+p22;ce3:p11+p21+p22+p31;ca4:p11+p21+p31+p41

END_DEFINITION

### Begin Table data.
BEGIN_TABLE
a	一	2830000000
b	地	853000000
c	现	275000000
c	現	44300000
d	的	4220000000
e	世	171000000
f	要	1520000000
g	在	2700000000
h	成	723000000
i	上	4250000000
j	中	2720000000
k	是	2210000000
l	用	1490000000
m	我	2310000000
n	他	828000000
o	个	1460000000
o	會	301000000
p	所	1250000000
q	月	2250000000
r	多	1730000000
s	説	15000000
s	说	759000000
t	度	521000000
u	为	2930000000
u	為	453000000
v	没	441000000
w	这	1090000000
w	這	166000000
x	对	1200000000
x	發	92200000
y	了	1690000000
z	发	1140000000
z	經	79300000
aa	一下	431000000
ab	一起	533000000
ac	平静	39400000
ad	于	957000000
ae	开	486000000
af	末	121000000
ag	无	339000000
ah	形成	168000000
ai	丁	90500000
aj	可	1360000000
ak	更	2310000000
al	两	684000000
am	严重	137000000
an	百	660000000
ao	丈	21300000
ap	一般	721000000
aq	一月	102000000
ar	死	498000000
as	干部	61600000
at	政府	520000000
au	下半年	24000000
av	天津	187000000
av	天津市	33600000
aw	一定	443000000
ax	开展	112000000
ay	万	731000000
az	与	1300000000
ba	土	320000000
bb	款	412000000
bc	增长	199000000
bd	二	1180000000
be	填	139000000
bf	规模	211000000
bg	项	494000000
bh	越	458000000
bi	工	551000000
bj	动员	30000000
bk	示	89700000
bl	项目	534000000
bm	者	1680000000
bn	增值	62600000
bo	走	255000000
bp	喜爱	42600000
bq	二月	54800000
bq	五月	49700000
br	元	994000000
bs	专	301000000
bt	专门	91200000
bu	增	288000000
bv	来	2460000000
bw	壹	19900000
bx	五	796000000
by	都	1370000000
bz	动	565000000
ca	王	827000000
